ID,mean,std,max,min,p2p,rms,lat,long,size,SKEW,KURT,ENERGY,ENTROPY,CREST,MEAN_APPROXIMATION,STD_APPROXIMATION,MEAN_DETAIL,STD_DETAIL,ENERGY_APPROXIMATION,ENERGY_DETAIL,ENTROPY_APPROXIMATION,ENTROPY_DETAIL,MAX_APPROXIMATION,MAX_DETAIL,MIN_APPROXIMATION,MIN_DETAIL,VARIANCE_APPROXIMATION,VARIANCE_DETAIL,label
1099.0,11.66566265060241,2.229001359260373,15.26086956521739,10.15,5.11086956521739,11.87670544120905,39.074208,21.824312,80.0,0.9867972962122104,-1.0125953720102072,46830.6358695652,-13823.320482237485,1.284941319860151,16.497738334551197,3.152283952814083,0.0,0.0,46830.635869565216,0.0,-11143.875933272766,-0.0,21.582128712737237,0.0,14.354267658086917,0.0,9.93689411916918,0.0,16.11382113821138
1100.0,15.944020356234097,7.207066151925922,25.016393442622952,6.354838709677419,18.66155473294553,17.497245144257523,37.8640519,23.7454264,137.0,-0.257187893863,-1.6655707651238494,120318.35994183028,-26044.67732354072,1.429733265801169,22.58081397136557,10.16971498559811,0.0558089845311799,0.7813257834365195,120823.30371205026,120.87617065556717,-20718.125303476365,-38.02615067874324,35.37852288821874,10.994369952642453,8.987099089919345,0.0,103.4231028882988,0.6104699798626909,25.61290322580645
1101.0,2.55,0.0,2.55,2.55,0.0,2.55,37.9531249,23.6816363,80.0,0.23416578158512205,-1.296990295245979,780.3000000000021,-413.2521576077449,1.0,3.606244584051392,8.881784197001252e-16,0.0,0.0,780.3,0.0,-400.4007405059498,-0.0,3.606244584051392,0.0,3.606244584051392,0.0,7.888609052210118e-31,0.0,7.591666666666668
1102.0,10.675000000000002,1.7763568394002505e-15,10.675,10.675,0.0,10.675000000000002,37.8953537,23.744783,102.0,0.23416578158512205,-1.296990295245979,13674.675000000012,-4376.106295023137,1.0,15.096729778332792,0.0,0.0,0.0,13674.675,0.0,-3547.276329753983,-0.0,15.096729778332792,0.0,15.096729778332792,0.0,0.0,0.0,7.88524590163934
1103.0,7.554166666666665,2.6375,10.191666666666666,4.916666666666667,5.275,8.001364900926452,37.9394745,23.713473,72.0,1.5490762310652334e-15,-2.0,15365.24166666671,-5451.84755133778,1.2737410170465548,10.683204952426758,3.7299882707590393,0.0,0.0,15365.241666666669,0.0,-4496.0306706918245,-0.0,14.413193223185797,0.0,6.953216681667718,0.0,13.912812500000006,0.0,10.581967213114751
1104.0,6.560885608856089,4.53617741828834,17.357142857142858,2.5284552845528454,14.828687572590011,7.976347882501366,37.953283,23.7087275,55.0,1.09407377356442,0.6058170273113839,17241.59602206735,-5390.907657711645,2.1760764591551007,9.334626546808757,6.4068707754708925,-0.0770990113137873,0.8958095604820671,17432.921442667895,109.94498756274274,-4490.903375625721,-1.005758822405185,24.546706832618725,0.0,3.5757757552685576,-10.485465538675085,41.047993133583,0.8024747686510743,10.336956521739127
1105.0,0.7053941908713693,0.7083272355011484,1.4166666666666667,0.0,1.4166666666666667,0.9996541587307948,37.9467428,23.7439993,97.37275985663082,0.0082988266288659,-1.999931129476584,240.833333333334,-85.42505788996124,1.4171567779654213,0.9934558082786208,1.0017003961860234,0.0,0.0,240.8333333333334,0.0,-120.50871411810152,-0.0,2.003469213361885,0.0,0.0,0.0,1.0034036837192362,0.0,4.0327868852459
1106.0,8.333333333333332,1.5499999999999998,9.883333333333333,6.783333333333333,3.1,8.476257691012256,39.074208,21.824312,103.0,1.844471089661792e-15,-2.0,17243.26666666664,-6167.9907033072495,1.1660019897475582,11.785113019775796,2.192031021678296,0.0,0.0,17243.266666666666,0.0,-5068.534833790686,-0.0,13.977144041454087,0.0,9.593081998097496,0.0,4.804999999999995,0.0,9.821138211382108
1107.0,7.915129151291515,9.98617600727038,35.0,0.4666666666666667,34.53333333333333,12.74256570435512,37.96452,23.5679726,65.0,2.1885457225836733,3.2490281655789497,44003.0777777778,-8098.901729155291,2.7466995903374305,11.334505757254954,14.28595025413399,0.0,0.0,45228.07777777778,0.0,-6624.478002479238,-0.0,49.49747468305833,0.0,0.6599663291074445,0.0,204.088374663591,0.0,12.45054945054945
1109.0,6.625,0.0,6.625,6.625,0.0,6.625,39.074208,21.824312,103.0,0.23416578158512205,-1.296990295245979,5266.875,-2168.6967613777424,1.0,9.369164850721756,0.0,0.0,0.0,5266.875000000001,0.0,-1814.575131829159,-0.0,9.369164850721756,0.0,9.369164850721756,0.0,0.0,0.0,6.891666666666667
1110.0,11.580152671755728,5.447217189104875,16.8,3.5416666666666665,13.258333333333336,12.797347811419788,39.074208,21.824312,164.0,-0.7137651597980318,-1.3305233594414203,64362.4396255352,-16964.31705927244,1.3127720092915207,16.39554494976605,7.701795340348826,-0.0095983041358392,0.1180849848559422,64641.91449589036,2.7651296448702984,-13658.801943761036,-1.005758822405185,23.758787847868,0.0,5.008673033404712,-1.6445190361534046,59.31765146461889,0.0139440636484281,26.451612903225808
1111.0,7.922865013774107,8.712533409233902,31.93548387096774,0.3214285714285714,31.614055299539167,11.776248487251896,37.9567449,23.6312718,67.0,1.592481380884382,2.149748803255001,50340.85032136133,-10846.808046768478,2.711855469552868,11.225813763077948,12.199018094729215,-0.1209802819501836,1.6527922043798726,50019.9585556291,499.8372105052916,-8705.715186011308,-1.005758822405185,45.16359441126981,0.3361015681772294,0.4545686450484949,-22.354512883110655,148.81604247553085,2.7317220708588787,7.926229508196722
1112.0,6.348547717842322,3.334682036263063,9.669421487603303,3.0,6.669421487603305,7.171064245193772,39.074208,21.824312,80.0,-0.0082988266288652,-1.999931129476584,12393.223140495902,-4400.499105579138,1.3483942071895387,8.997608997681427,4.715832103386218,0.0,0.0,12486.72085240079,0.0,-3678.359566772744,-0.0,13.674627008070424,0.0,4.242640687119286,0.0,22.23907242732808,0.0,1.795081967213115
1113.0,4.485849056603773,4.171466915701048,9.25,0.8333333333333334,8.416666666666666,6.125681838572861,39.074208,21.824312,87.0,0.2664854456694086,-1.928985507246376,7955.083333333333,-2704.9413735668563,1.510035983546124,6.343948574607611,5.899345087175088,0.0,0.0,7955.083333333334,0.0,-2248.9116624153826,-0.0,13.08147545195113,0.0,1.1785113019775793,0.0,34.80227245757684,0.0,6.783333333333332
